,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Player_ID
0,1,Jarvis Landry,MIA,25,WR,16,16,161,112,0.696,987,8.8,9,49,6.1,7.0,61.7,4,40a3b7b6b0e05ea17a2f057c324c03f52ea85207
1,2,Larry Fitzgerald,ARI,34,WR,16,16,161,109,0.677,1156,10.6,6,37,7.2,6.8,72.3,1,6f83e45ecddc6cda502a16ee287430e7ed302377
2,3,Michael Thomas,NOR,24,WR,16,14,149,104,0.698,1245,12.0,5,43,8.4,6.5,77.8,0,027c5df7975f04840dfbb1d6f479df2eb27f3633
3,4,Keenan Allen,LAC,25,WR,16,15,159,102,0.642,1393,13.7,6,51,8.8,6.4,87.1,1,72317d71c3d04d8cf0135b8091b9a798e852aced
4,5,Antonio Brown,PIT,29,WR,14,14,163,101,0.62,1533,15.2,9,57,9.4,7.2,109.5,4,23588c39a1e874b1700e400020190f528694c0a0
5,6,DeAndre Hopkins,HOU,25,WR,15,15,174,96,0.552,1378,14.4,13,72,7.9,6.4,91.9,1,3c20c7d6f5b7bcfa13826967a954b6adb1983e9d
6,7,Golden Tate,DET,29,WR,16,12,120,92,0.767,1003,10.9,5,71,8.4,5.8,62.7,1,4be9e9ef46089a07b3f2ad293bb6c8ef1d520f7a
7,8,Adam Thielen,MIN,27,WR,16,16,142,91,0.641,1276,14.0,4,65,9.0,5.7,79.8,3,a58676cbbdc85b93b5000c1055757b3140ac75ca
8,9,Julio Jones,ATL,28,WR,16,16,148,88,0.595,1444,16.4,3,53,9.8,5.5,90.3,0,7a15b435a9c9c66413e9205a38ced3a758d410fd
9,10,LeVeon Bell,PIT,25,RB,15,15,106,85,0.802,655,7.7,2,42,6.2,5.7,43.7,3,13e59bf6172578f2b30fb2c721b965ee487f11b3
10,11,Travis Kelce,KAN,28,TE,15,15,122,83,0.68,1038,12.5,8,44,8.5,5.5,69.2,0,e7af17376320b84d6644a822b060439f520ed108
11,12,Demaryius Thomas,DEN,30,WR,16,16,140,83,0.593,949,11.4,5,40,6.8,5.2,59.3,1,d8d2a293ffc8ae8ab13721aceb88ef844a414a12
12,13,Alvin Kamara,NOR,22,fb/rb,16,3,100,81,0.81,826,10.2,5,40,8.3,5.1,51.6,1,387b9af70de447875c104ae40fd0cf407f96498b
13,14,Jack Doyle,IND,27,TE,15,15,108,80,0.741,690,8.6,4,26,6.4,5.3,46.0,2,f8f167765cf6fe9313c623e620698febdba5b200
14,15,Christian McCaffrey,CAR,21,RB,16,10,113,80,0.708,651,8.1,5,37,5.8,5.0,40.7,2,bcb54c01cb6f248aa00afcb2ad5a43c4dc9a6515
15,16,Doug Baldwin,SEA,29,WR,16,16,116,75,0.647,991,13.2,8,54,8.5,4.7,61.9,0,8ac586c77d8374db1d863ddf6ac7273be7999932
16,17,AJ Green,CIN,29,WR,16,16,143,75,0.524,1078,14.4,8,77,7.5,4.7,67.4,2,c37d15430f7b449b8edb580bdb60772cddf18526
