"","Rk","Player","Pro_Bowl","Abbreviation","Tm","Age","Pos","G","GS","QBrec","Cmp","Att","Cmp.","Yds","TD","TD.","Int","Int.","Lng","Y.A","AY.A","Y.C","Y.G","Rate","QBR","Sk","Yds.1","NY.A","ANY.A","Sk.","X4QC","GWD","Player_ID"
"1",1,"Ben Roethlisberger","0","RoetBe00","PIT",36,"QB",16,16,"9-6-1",452,675,67,5129,34,5,16,2.4,97,7.6,7.5,11.3,320.6,96.5,73,24,166,7.1,7.04,3.4,2,3,"da27a3abdeebfce14e2dd3d55a79e74142b539da"
"2",2,"Andrew Luck","1","LuckAn00","IND",29,"QB",16,16,"10-6-0",430,639,67.3,4593,39,6.1,15,2.3,68,7.2,7.4,10.7,287.1,98.7,71.5,18,134,6.79,6.95,2.7,3,3,"6e54eced42e9fc61ae7d225575d91055e539050a"
"3",3,"Matt Ryan","0","RyanMa00","ATL",33,"QB",16,16,"7-9-0",422,608,69.4,4924,35,5.8,7,1.2,75,8.1,8.7,11.7,307.8,108.1,70.6,42,296,7.12,7.71,6.5,1,1,"4109eff5cdc14953d76f8005942ef16ce89380aa"
"4",4,"Kirk Cousins","0","CousKi00","MIN",30,"QB",16,16,"8-7-1",425,606,70.1,4298,30,5,10,1.7,75,7.1,7.3,10.1,268.6,99.7,60.6,40,262,6.25,6.48,6.2,1,0,"dd88f3eb8f6a251e7fa63a9059b5fb0e46fc4498"
"5",5,"Aaron Rodgers","1","RodgAa00","GNB",35,"QB",16,16,"6-9-1",372,597,62.3,4442,25,4.2,2,0.3,75,7.4,8.1,11.9,277.6,97.6,56.8,49,353,6.33,6.96,7.6,3,3,"6d6767eb85bdf058fe43eae1064d279cc52c1990"
"6",6,"Case Keenum","0","KeenCa00","DEN",30,"QB",16,16,"6-10-0",365,586,62.3,3890,18,3.1,15,2.6,64,6.6,6.1,10.7,243.1,81.2,47.9,34,235,5.9,5.39,5.5,3,4,"f0f2815b0101152c9d25178d750519e261446fbb"
"7",7,"Patrick Mahomes","1","MahoPa00","KAN",23,"QB",16,16,"12-4-0",383,580,66,5097,50,8.6,12,2.1,89,8.8,9.6,13.3,318.6,113.8,82,26,171,8.13,8.89,4.3,2,2,"e0e1fba2fa960d329910ab16b3b8ea31bd227d9b"
"8",8,"Eli Manning","0","MannEl00","NYG",37,"QB",16,16,"5-11-0",380,576,66,4299,21,3.6,11,1.9,58,7.5,7.3,11.3,268.7,92.4,51.2,47,358,6.33,6.21,7.5,1,2,"e2fed0507c12b536f49983e616380c48f3c363c7"
"9",9,"Tom Brady","1","BradTo00","NWE",41,"QB",16,16,"11-5-0",375,570,65.8,4355,29,5.1,11,1.9,63,7.6,7.8,11.6,272.2,97.7,68.8,21,147,7.12,7.26,3.6,1,2,"0a0973445a5bf263e69f2ba327c2bc0ff3c9ccc9"
"10",10,"Jared Goff","1","GoffJa00","LAR",24,"QB",16,16,"13-3-0",364,561,64.9,4688,32,5.7,12,2.1,70,8.4,8.5,12.9,293,101.1,65.4,33,223,7.52,7.69,5.6,4,4,"87608f878d2a332fed92ee32f0af374b1d64b84e"
"11",11,"Matthew Stafford","0","StafMa00","DET",30,"QB",16,16,"6-10-0",367,555,66.1,3777,21,3.8,11,2,67,6.8,6.7,10.3,236.1,89.9,50.9,40,255,5.92,5.79,6.7,0,1,"f4cf90f7d0b3a50b7a9e68b022ec7a44c5d9e160"
"12",12,"Derek Carr","0","CarrDe02","OAK",27,"QB",16,16,"4-12-0",381,553,68.9,4049,19,3.4,10,1.8,66,7.3,7.2,10.6,253.1,93.9,49.3,51,299,6.21,6.09,8.4,3,3,"74f74537c40b4fe521f26334f2a433009c246d99"
"13",13,"Dak Prescott","1","PresDa01","DAL",25,"QB",16,16,"10-6-0",356,526,67.7,3885,22,4.2,8,1.5,90,7.4,7.5,10.9,242.8,96.9,58.6,56,347,6.08,6.22,9.6,3,5,"aee7531d9a08c8aaea7cf3e5e77f415783f7e3f6"
"14",14,"Philip Rivers","1","RivePh00","LAC",37,"QB",16,16,"12-4-0",347,508,68.3,4308,32,6.3,12,2.4,75,8.5,8.7,12.4,269.3,105.5,71.2,32,204,7.6,7.79,5.9,3,3,"c2732e96875aed9fb3dada81bbeeb4c46942ea0e"
"15",15,"Deshaun Watson","1","WatsDe00","HOU",23,"QB",16,16,"11-5-0",345,505,68.3,4165,26,5.1,9,1.8,73,8.2,8.5,12.1,260.3,103.1,63,62,384,6.67,6.87,10.9,5,5,"aa5d28c692f15667dcfa6be3c45674bf90ee458b"
"16",16,"Drew Brees","1","BreeDr00","NOR",39,"QB",15,15,"13-2-0",364,489,74.4,3992,32,6.5,5,1,72,8.2,9,11,266.1,115.7,81.9,17,121,7.65,8.47,3.4,6,7,"e93f3f91edbaca1665e26c041b17a5e35c5958f1"
"17",17,"Baker Mayfield","0","MayfBa00","CLE",23,"QB",14,13,"6-7-0",310,486,63.8,3725,27,5.6,14,2.9,71,7.7,7.5,12,266.1,93.7,55.7,25,173,6.95,6.77,4.9,3,4,"1b6a601de20961cb3c1a2517db119c78c0933029"
"18",18,"Cam Newton","0","NewtCa00","CAR",29,"QB",14,14,"6-8-0",320,471,67.9,3395,24,5.1,13,2.8,82,7.2,7,10.6,242.5,94.2,57.4,29,213,6.36,6.15,5.8,2,2,"1ea2f574a38a178ba09d10e0755d5be81550d12e"
"19",19,"Mitchell Trubisky","1","TrubMi00","CHI",24,"QB",14,14,"11-3-0",289,434,66.6,3223,24,5.5,12,2.8,70,7.4,7.3,11.2,230.2,95.4,72.8,24,143,6.72,6.59,5.2,1,2,"1adaddf8f50b8ebfb1f8f88e63e8386544f48124"
"20",20,"Russell Wilson","1","WilsRu00","SEA",30,"QB",16,16,"10-6-0",280,427,65.6,3448,35,8.2,7,1.6,66,8.1,9,12.3,215.5,110.9,65.1,51,355,6.47,7.28,10.7,2,4,"062a96f2adf8116226ea811a2fcd1e49c6bf705a"
"21",21,"Sam Darnold","0","DarnSa00","NYJ",21,"QB",13,13,"4-9-0",239,414,57.7,2865,17,4.1,15,3.6,76,6.9,6.1,12,220.4,77.6,47.9,30,204,5.99,5.24,6.8,1,1,"cd052140e8e3c364e0fa5397d08b8d297577cfee"
