"","Rk","Player","Pro_Bowl","Abbreviation","Tm","Age","Pos","G","GS","Tgt","Rec","Ctch.","Yds","Y.R","TD","Lng","Y.Tgt","R.G","Y.G","Fmb","Player_ID"
"1",1,"Michael Thomas","1","ThomMi05","NOR",25,"WR",16,16,147,125,0.85,1405,11.2,9,72,9.6,7.8,87.8,2,"f42918d03ef1b327a62ccad9e63bdb0057cdfb38"
"2",2,"Zach Ertz","1","ErtzZa00","PHI",28,"TE",16,16,156,116,0.744,1163,10,8,34,7.5,7.3,72.7,1,"b7c5b9f7ab7ff312335e11ba20dbb186d506e7b8"
"3",3,"DeAndre Hopkins","1","HopkDe00","HOU",26,"WR",16,16,163,115,0.706,1572,13.7,11,49,9.6,7.2,98.3,2,"a04728586e539d5958a65d619807c69eb981da93"
"4",4,"Julio Jones","1","JoneJu02","ATL",29,"WR",16,16,170,113,0.665,1677,14.8,8,58,9.9,7.1,104.8,2,"556e9d042f8aa653dba41c3db64971332df42b30"
"5",5,"Adam Thielen","1","ThieAd00","MIN",28,"WR",16,16,153,113,0.739,1373,12.2,9,68,9,7.1,85.8,1,"267331c77809c847dbfa5c404a4d30c3857af548"
"6",6,"Davante Adams","1","AdamDa01","GNB",26,"WR",15,15,169,111,0.657,1386,12.5,13,57,8.2,7.4,92.4,0,"d6bd5302570fb9109f62e335b63f62a2d969e7a0"
"7",7,"JuJu Smith-Schuster","1","SmitJu00","PIT",22,"WR",16,13,166,111,0.669,1426,12.8,7,97,8.6,6.9,89.1,1,"fe3b55a808752b4c70a60efc4f4a58aaa9f90cee"
"8",8,"Christian McCaffrey","0","McCaCh01","CAR",22,"RB",16,16,124,107,0.863,867,8.1,6,38,7,6.7,54.2,4,"4eefefb59694d73f613a02dbc5c222596ac76287"
"9",9,"Antonio Brown","1","BrowAn04","PIT",30,"WR",15,15,168,104,0.619,1297,12.5,15,78,7.7,6.9,86.5,0,"552898643f26b8e62d5ab6ca347e13a3c5af7262"
"10",10,"Travis Kelce","1","KelcTr00","KAN",29,"TE",16,16,150,103,0.687,1336,13,10,43,8.9,6.4,83.5,2,"022a076ff9d2a86e2f25b686ab10ceeff1781cc1"
"11",11,"Stefon Diggs","0","DiggSt00","MIN",25,"WR",15,14,149,102,0.685,1021,10,9,75,6.9,6.8,68.1,0,"9c487ea8c20a94161761d667186a658e628fdd16"
"12",12,"Keenan Allen","1","AlleKe00","LAC",26,"WR",16,14,136,97,0.713,1196,12.3,6,54,8.8,6.1,74.8,3,"87affa32ad693665c655acdb66e47b4c013137ee"
"13",13,"Saquon Barkley","1","BarkSa00","NYG",21,"RB",16,16,121,91,0.752,721,7.9,4,57,6,5.7,45.1,0,"db2f4008d05f7081ba007cc38364b42d259db21b"
"14",14,"George Kittle","1","KittGe00","SFO",25,"TE",16,16,136,88,0.647,1377,15.6,5,85,10.1,5.5,86.1,0,"ba108da83124a80ffc921fcc8386e7e4bcf89890"
"15",15,"Tyreek Hill","1","HillTy00","KAN",24,"WR",16,16,137,87,0.635,1479,17,12,75,10.8,5.4,92.4,0,"bb464d5b239b9276646fd735b408bc4d2517a3c3"
"16",16,"James White","0","WhitJa02","NWE",26,"rb",16,3,123,87,0.707,751,8.6,7,42,6.1,5.4,46.9,0,"0d97d700eb70904d2b33d63cf5bec8a523790f70"
"17",17,"Mike Evans","1","EvanMi00","TAM",25,"WR",16,16,138,86,0.623,1524,17.7,8,72,11,5.4,95.3,2,"922ec142153ca15448e60f63ac47e2985cb8582f"
"18",18,"Robert Woods","0","WoodRo02","LAR",26,"WR",16,16,130,86,0.662,1219,14.2,6,39,9.4,5.4,76.2,0,"94a9b471cbf0059fcd5e499e65db777cec419d2e"
"19",19,"Alvin Kamara","1","KamaAl00","NOR",23,"RB",15,13,105,81,0.771,709,8.8,4,42,6.8,5.4,47.3,1,"97b0829d46c3f8f9e542fdea44ee53426dbf7ad3"
"20",20,"Jarvis Landry","1","LandJa00","CLE",26,"WR",16,14,149,81,0.544,976,12,4,51,6.6,5.1,61,1,"80b22c38577d6653d1efeea82ca59b880738bd73"
"21",21,"Brandin Cooks","0","CookBr00","LAR",25,"WR",16,16,117,80,0.684,1204,15.1,5,57,10.3,5,75.3,1,"d8f89d2287e9a79614b80a016da3e943618c6523"
"22",22,"Odell Beckham","0","BeckOd00","NYG",26,"WR",12,12,124,77,0.621,1052,13.7,6,51,8.5,6.4,87.7,2,"3395ed7c167ee0190f6f55fc20ef21d50c54d684"
"23",23,"Ezekiel Elliott","1","ElliEz00","DAL",23,"RB",15,15,95,77,0.811,567,7.4,3,38,6,5.1,37.8,6,"c64e3f731185e1db9cb216b685aa24540757ab0d"
"24",24,"Tyler Boyd","0","BoydTy00","CIN",24,"WR",14,14,108,76,0.704,1028,13.5,7,49,9.5,5.4,73.4,0,"586b4f7df4b9d1e15e2f33c1265c8096bb15624a"
"25",25,"T.Y. Hilton","0","HiltT.00","IND",29,"WR",14,14,120,76,0.633,1270,16.7,6,68,10.6,5.4,90.7,0,"519b0769dd9689ef3432ee2bbf3f74c1f69f744b"
"26",26,"Adam Humphries","0","HumpAd00","TAM",25,"WR",16,10,105,76,0.724,816,10.7,5,51,7.8,4.8,51,2,"ce31c5de98b6eaed0509fdf13508bccfb0f871e4"
"27",27,"Amari Cooper","1","CoopAm00","2TM",24,NA,15,15,107,75,0.701,1005,13.4,7,90,9.4,5,67,2,"513dfe7348732a5e116482dabd2c0f9180b42c3f"
"28",28,"Julian Edelman","0","EdelJu00","NWE",32,"WR",12,12,108,74,0.685,850,11.5,6,36,7.9,6.2,70.8,1,"9d5df7c8c30609adcdca1f5bebcd7653bdb134df"
"29",29,"Golden Tate","0","TateGo00","2TM",30,NA,15,8,113,74,0.655,795,10.7,4,67,7,4.9,53,3,"97e320f8b2d01b88c021f5d2cb71e898acfd95fb"
"30",30,"Tarik Cohen","1","CoheTa00","CHI",23,"rb/wr",16,7,91,71,0.78,725,10.2,5,70,8,4.4,45.3,7,"1e50bc21490a0bf1e0bab891c4f9a7822a0095b9"
"31",31,"Austin Hooper","1","HoopAu00","ATL",24,"te",16,7,88,71,0.807,660,9.3,4,36,7.5,4.4,41.3,0,"93e34222cec3555495728695362ce4bd534f4993"
"32",32,"Emmanuel Sanders","0","SandEm00","DEN",31,"WR",12,12,98,71,0.724,868,12.2,4,64,8.9,5.9,72.3,1,"2c12b98d3bdc10ffc8862afa666e8858c7f0243d"
"33",33,"Kenny Golladay","0","GollKe00","DET",25,"WR",15,13,119,70,0.588,1063,15.2,5,60,8.9,4.7,70.9,1,"ad96073c35d1e23f0a11f7d20dda13bfe104b8a3"
"34",34,"Larry Fitzgerald","0","FitzLa00","ARI",35,"WR",16,16,112,69,0.616,734,10.6,6,37,6.6,4.3,45.9,0,"e0cc7e39d5d3ae8ff63424e023c8966155710ae0"
"35",35,"Jared Cook","1","CookJa02","OAK",31,"TE",16,14,101,68,0.673,896,13.2,6,45,8.9,4.3,56,0,"04c214d375a991ba515382a9d5a7d9bc026ddf62"
"36",36,"Jalen Richard","0","RichJa01","OAK",25,"rb",16,1,81,68,0.84,607,8.9,0,32,7.5,4.3,37.9,3,"a48998684ed046c4fda89c3fb75661bc700e782b"
"37",37,"Taylor Gabriel","0","GabrTa00","CHI",27,"WR",16,11,93,67,0.72,688,10.3,2,54,7.4,4.2,43,1,"6ca568e2dad63c0ac0e21950e2a78d3731a09b50"
"38",38,"Eric Ebron","1","EbroEr00","IND",25,"te/wr",16,8,110,66,0.6,750,11.4,13,53,6.8,4.1,46.9,1,"051dc18c87755bbf74324cfedc9133c2d98a4525"
"39",39,"Mohamed Sanu","0","SanuMo00","ATL",29,"WR",16,16,94,66,0.702,838,12.7,4,44,8.9,4.1,52.4,2,"fb97099bd7c4970e6caefaa71a7893010c055a0d"
"40",40,"Sterling Shepard","0","ShepSt00","NYG",25,"WR",16,16,107,66,0.617,872,13.2,4,58,8.1,4.1,54.5,1,"633498fa5d1bcf6cf2d7ea96af3fdeac0ecd900e"
"41",41,"Dede Westbrook","0","WestDe00","JAX",25,"WR",16,9,101,66,0.653,717,10.9,5,61,7.1,4.1,44.8,3,"c02974d539830efd9e37c5e77fafc8a5d9ec0a13"
"42",42,"Cole Beasley","0","BeasCo00","DAL",29,"wr",16,4,87,65,0.747,672,10.3,3,32,7.7,4.1,42,0,"120cb5d946b632da58bcf31dbcbfb1a204fcc96f"
"43",43,"Corey Davis","0","DaviCo03","TEN",23,"WR",16,16,112,65,0.58,891,13.7,4,51,8,4.1,55.7,1,"ae4426ae5bd34c54871be9b5647161b65f1c2971"
"44",44,"Alshon Jeffery","0","JeffAl00","PHI",28,"WR",13,13,92,65,0.707,843,13,6,52,9.2,5,64.8,1,"a1b8780e9bc4a39720b2ef898d4e064bb465f0c5"
"45",45,"Nelson Agholor","0","AghoNe00","PHI",25,"WR",16,16,97,64,0.66,736,11.5,4,83,7.6,4,46,1,"08c54c8e9d1d1730628521348e2540edcbb4933e"
"46",46,"Calvin Ridley","0","RidlCa00","ATL",24,"wr",16,5,92,64,0.696,821,12.8,10,75,8.9,4,51.3,2,"ffaaac513128bdb17cd38de4e15f75ef8d38a5ce"
"47",47,"Kyle Rudolph","0","RudoKy00","MIN",29,"TE",16,16,82,64,0.78,634,9.9,4,44,7.7,4,39.6,0,"e8ee54abfbcde7f167e9aa8232d541eb904d46db"
"48",48,"Nyheim Hines","0","HineNy00","IND",22,"rb",16,4,81,63,0.778,425,6.7,2,28,5.2,3.9,26.6,1,"f770d53475f582088ff21adf328069247e20bcf9"
"49",49,"Jordy Nelson","0","NelsJo00","OAK",33,"WR",15,14,88,63,0.716,739,11.7,3,66,8.4,4.2,49.3,1,"ac8738cd7e6149a2c03673dd17ed2d9a3281f98c"
"50",50,"Willie Snead","0","SneaWi00","BAL",26,"WR",16,10,95,62,0.653,651,10.5,1,28,6.9,3.9,40.7,0,"d4d8cc1dd206e3a08e382622aa68f0855700a41a"
"51",51,"Theo Riddick","0","RiddTh00","DET",27,"wr",14,3,74,61,0.824,384,6.3,0,20,5.2,4.4,27.4,0,"7b1069a1836d3096e8d0934249daa25414e701fd"
"52",52,"Danny Amendola","0","AmenDa00","MIA",33,"WR",15,15,79,59,0.747,575,9.7,1,39,7.3,3.9,38.3,2,"c3fe4abf2984e6c127518217916d7737ca313a6f"
"53",53,"Chris Godwin","0","GodwCh00","TAM",22,"wr",16,5,95,59,0.621,842,14.3,7,48,8.9,3.7,52.6,4,"90760ba4f440644b956ede0bc81f8de6f46ad279"
"54",54,"Todd Gurley","1","GurlTo01","LAR",24,"RB",14,14,81,59,0.728,580,9.8,4,56,7.2,4.2,41.4,1,"aee5af97207dc328fd824eb619d204afbea4f14b"
"55",55,"Dion Lewis","0","LewiDi00","TEN",28,"rb",16,7,67,59,0.881,400,6.8,1,37,6,3.7,25,1,"a9edf232b0632d89b98049488b5ff4e0fc7681ee"
"56",56,"Demaryius Thomas","0","ThomDe03","2TM",31,NA,15,15,89,59,0.663,677,11.5,5,45,7.6,3.9,45.1,0,"5b4fa55cf60fe579a27a5c2049a757c7869346fd"
"57",57,"Tyler Lockett","0","LockTy00","SEA",26,"WR",16,14,70,57,0.814,965,16.9,10,52,13.8,3.6,60.3,2,"e1193839f177d3047ced3eb1b74e28fc85338445"
"58",58,"Zay Jones","0","JoneZa00","BUF",23,"WR",16,15,102,56,0.549,652,11.6,7,57,6.4,3.5,40.8,1,"ffa5106d08f72fbf4c31a0e9a55167a5158821cf"
"59",59,"David Njoku","0","NjokDa00","CLE",22,"TE",16,14,88,56,0.636,639,11.4,4,66,7.3,3.5,39.9,0,"4aea81dfcffbb905f093fa9fd3b386941daffac7"
"60",60,"James Conner","1","ConnJa00","PIT",23,"RB",13,12,71,55,0.775,497,9,1,29,7,4.2,38.2,4,"0a9c8ba675828d79c319819a0a920dd75a9b8864"
"61",61,"Jimmy Graham","0","GrahJi00","GNB",32,"TE",16,12,89,55,0.618,636,11.6,2,54,7.1,3.4,39.8,0,"f172c5b43214fa934e5fd0c15d4f6b6da3728b88"
"62",62,"D.J. Moore","0","MoorD.00","CAR",21,"WR",16,10,82,55,0.671,788,14.3,2,82,9.6,3.4,49.3,4,"5e59dca6d09d14551289297d2c261b507bf7f914"
"63",63,"Allen Robinson","0","RobiAl02","CHI",25,"WR",13,12,94,55,0.585,754,13.7,4,43,8,4.2,58,1,"4f658b5b169fd4716a3a8cb548c0a2f367afa821"
